Clave de incidencia,ID de la incidencia,Resumen,Descripción,Estado,Creada,Principal,Clave principal,Parent summary
DOIT-4745,18388,"1,00 CASCADA DE FIBRA ÓPTICA DE 150 TIRAS DE LUZ Y 2M FUENTE DE LUZ PASIVA DOIT FO15CPUV",,ACABADO,04/nov/25 1:16 PM,18385,DOIT-4743,CUIDDO ASEVIME COM251125
DOIT-4836,19044,"1,00 DOIT CONSOLE SISTEMA DE CONTROL DE ENTORNO Y ACTIVIDADES DOIT DOCONS1",,ACABADO,03/dic/25 9:53 AM,19040,DOIT-4834,MUNDO SENSORIAL COM251132
DOIT-4196,16073,a,,ACABADO,09/jun/25 9:16 AM,13855,DOIT-3611,"1,00 PROYECTOR INTERACTIVO DOIT AIR DOITAIR"
DOIT-3492,13691,FITXA MUNTATGE KIT HOPTOYS,,ACABADO,25/nov/24 9:18 AM,11756,DOIT-1690,FITXES MUNTATGE
DOIT-2493,12561,"1,00 TUBO INTERIOR PARA COLUMNA CON CIRCULACIÓN DE OBJETOS DTTB150",,ACABADO,16/ene/24 10:58 AM,12374,DOIT-2308,SUTEGA 0129031 - COM20230211
DOIT-2443,12511,"1,00 FUENTE DE LUZ PARA CONECTAR ELEMENTOS DE FIBRA OPTICA DOIT",,ACABADO,05/ene/24 9:29 AM,12416,DOIT-2350,BALLESOL PARQUE ALMANSA
DOIT-2492,12560,"2,00 FIBER OPTIC CURTAIN DOFO4P",,ACABADO,16/ene/24 10:10 AM,12449,DOIT-2383,HOPTOYS COM20230222
DOIT-2414,12482,"1,00 DOIT CONSOLE SISTEMA DE CONTROL DE ENTORNO Y ACTIVIDADES DOIT DOCONS1",,ACABADO,02/ene/24 4:39 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2415,12483,"1,00 INTERFACE PARA PANTALLA TÁCTIL",,ACABADO,02/ene/24 4:40 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2416,12484,"1,00 COLUMNA DE BURBUJAS SUPERINTERACTIVA DOIT 15X180CMS DOCB15DOIT",,ACABADO,02/ene/24 4:40 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2417,12485,"1,00 COMUNICADOR DE 8 PULSADORES DE COLORES DOIT DO8PULS",,ACABADO,02/ene/24 4:40 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2418,12486,"4,00 FOCO DE COLORES DOIT INTERACTIVO DOFPDOIT",,ACABADO,02/ene/24 4:40 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2419,12487,"1,00 FUENTE DE LUZ PARA CONECTAR ELEMENTOS DE FIBRA ÓPTICA DOIT DOFFDOIT",,ACABADO,02/ene/24 4:40 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2420,12488,"1,00 DADO DE COLORES DOIT DE 30X30CMS DODADOIT30",,ACABADO,02/ene/24 4:40 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2421,12489,"1,00 ALFOMBRA REACTIVA A LUZ NEGRA DE 100X100 CM UVM1X1",,ACABADO,02/ene/24 4:41 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2422,12490,"1,00 KIT DE 4 BARRAS REACTIVAS A LA LUZ NEGRA (UV) DOLN4B",,ACABADO,02/ene/24 4:41 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2423,12491,"1,00 DOIT VOICE SWITCH DOITVS",,ACABADO,02/ene/24 4:41 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2424,12492,"15,00 Enchufe controlable DOIT ***pastilla*** ENDOIT1",,ACABADO,02/ene/24 4:41 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2425,12493,"1,00 BUTACA BOMBAY CON VIBRACIÓN ACÚSTICA TNBMBV",,ACABADO,02/ene/24 4:41 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2426,12494,"3.000,00 BOLAS DE COLORES PARA PISCINA DE BOLAS BOLCOL",,ACABADO,02/ene/24 4:41 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2427,12495,"1,00 DIFUSOR DE AROMATERAPIA SUPERINTERACTIVO DOIT DOAADOIT",,ACABADO,02/ene/24 4:41 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2428,12496,"1,00 KIT DOIT PISCINA DE BOLAS 1,4 X 1,4 KITPB14DOIT",,ACABADO,02/ene/24 4:41 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2429,12497,"1,00 ESCALERA DE COLORES DOITLink ESC1",,ACABADO,02/ene/24 4:42 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2430,12498,"1,00 PACK DE 6 LOSETAS LÍQUIDAS DE COLORES DE 50x50 CM AM438315",,ACABADO,02/ene/24 4:42 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2431,12499,"1,00 ALFOMBRA NEGRA DE FIBRA ÓPTICA, TAMAÑO 200X100 DOIT SUPERINTERACTIVO DOFA21DOIT",,ACABADO,02/ene/24 4:42 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2432,12500,"1,00 CORTINA UV 100X200 UFUVW10",,ACABADO,02/ene/24 4:42 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2662,12740,"1,00 Amplificador 6 canals",,ACABADO,05/mar/24 4:02 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2663,12741,"3,00  Viradors acústics",,ACABADO,05/mar/24 4:02 PM,12481,DOIT-2413,TECNOVE COM20240100
DOIT-2434,12502,COLUMNA DE BURBUJAS SUPERINTERACTIVA DOIT 15X180CMS DOCB15DOIT,,ACABADO,04/ene/24 10:02 AM,12501,DOIT-2433,AJUNTAMENT DE VILASSAR
DOIT-2435,12503,DOIT WALL WASHER DE 2M DOITWW2M,,ACABADO,04/ene/24 10:02 AM,12501,DOIT-2433,AJUNTAMENT DE VILASSAR
DOIT-2436,12504,PROYECTOR GRAN ANGULAR DE CORTA DISTANCIA DOITPROGA,,ACABADO,04/ene/24 10:03 AM,12501,DOIT-2433,AJUNTAMENT DE VILASSAR
DOIT-2437,12505,PUFF VIBROACÚSTICO 120CMS DE DIÁMETRO Y 20 CMS DE ALTURA DOPU357,,ACABADO,04/ene/24 10:03 AM,12501,DOIT-2433,AJUNTAMENT DE VILASSAR
DOIT-2438,12506,BUTACA INDIVIDUAL DE ESPUMA CON TAPIZADO PVC 5161P,,ACABADO,04/ene/24 10:04 AM,12501,DOIT-2433,AJUNTAMENT DE VILASSAR
DOIT-2439,12507,COMUNICADOR DE 8 PULSADORES DE COLORES DOIT DO8PULS,,ACABADO,04/ene/24 10:04 AM,12501,DOIT-2433,AJUNTAMENT DE VILASSAR
DOIT-2440,12508,DOIT CONSOLE SISTEMA DE CONTROL DE ENTORNO Y ACTIVIDADES DOIT DOCONS1,,ACABADO,04/ene/24 10:04 AM,12501,DOIT-2433,AJUNTAMENT DE VILASSAR
DOIT-2441,12509,AMPLIFICADOR YAMAHA RS 202 D R-S202D,,ACABADO,04/ene/24 10:04 AM,12501,DOIT-2433,AJUNTAMENT DE VILASSAR
DOIT-2442,12510,ALTAVOCES JBL CONTROL ONE PRO JBLONEPRO,,ACABADO,04/ene/24 10:04 AM,12501,DOIT-2433,AJUNTAMENT DE VILASSAR
DOIT-2445,12513,"1,00 KIT DOIT PISCINA DE BOLAS 1,4 X 1,4 KITPB14DOIT",,ACABADO,05/ene/24 9:40 AM,12512,DOIT-2444,MUNDO SENSORIAL COM241101
DOIT-2446,12514,"1,00 DADO DE COLORES DOIT DE 30X30CMS CON VOZ DODADOIT30V",,ACABADO,05/ene/24 9:43 AM,12512,DOIT-2444,MUNDO SENSORIAL COM241101
DOIT-2447,12515,"4,00 MAZO DE FIBRA ÓPTICA DE 200 TIRAS Y 3 METROS DE LONGITUD FOS23",,ACABADO,05/ene/24 9:43 AM,12512,DOIT-2444,MUNDO SENSORIAL COM241101
DOIT-2448,12516,"1,00 PANEL TÚNEL INFINITO DOITIF1",,ACABADO,05/ene/24 9:43 AM,12512,DOIT-2444,MUNDO SENSORIAL COM241101
DOIT-2449,12517,"1,00 PANTALLA TÁCTIL DE 43"" PARA LAS ACTIVIDADES DE LA DOIT CONSOLE DOITPANTAC43",,ACABADO,05/ene/24 9:43 AM,12512,DOIT-2444,MUNDO SENSORIAL COM241101
DOIT-2450,12518,"1,00 DOIT CONSOLE SISTEMA DE CONTROL DE ENTORNO Y ACTIVIDADES DOIT DOCONS1",,ACABADO,05/ene/24 9:43 AM,12512,DOIT-2444,MUNDO SENSORIAL COM241101
DOIT-2451,12519,"5,00 Enchufe controlable DOIT ENDOIT1",,ACABADO,05/ene/24 9:43 AM,12512,DOIT-2444,MUNDO SENSORIAL COM241101
DOIT-2565,12633,"FER UNA CAIXA AMB KIT DE RECANVIS DE COLUMNA DE BOMBOLES, BOMBA, PLACA LEDS, EV, ELECTRONICA",,ACABADO,07/feb/24 9:30 AM,12512,DOIT-2444,MUNDO SENSORIAL COM241101
DOIT-2453,12521,"1,00 COLUMNA DE BURBUJAS SUPERINTERACTIVA DOIT 30X180 CMS DOCB30DOIT",,ACABADO,05/ene/24 9:49 AM,12520,DOIT-2452,MUNDO SENSORIAL COM241102
DOIT-2454,12522,"1,00 KIT DOIT PISCINA DE BOLAS 1,4 X 1,4 KITPB14DOIT",,ACABADO,05/ene/24 9:49 AM,12520,DOIT-2452,MUNDO SENSORIAL COM241102
DOIT-2455,12523,"1,00 DADO DE COLORES DOIT DE 30X30CMS CON VOZ DODADOIT30V",,ACABADO,05/ene/24 9:49 AM,12520,DOIT-2452,MUNDO SENSORIAL COM241102
DOIT-2456,12524,"1,00 PANEL TÚNEL INFINITO DOITIF1",,ACABADO,05/ene/24 9:49 AM,12520,DOIT-2452,MUNDO SENSORIAL COM241102
DOIT-2457,12525,"1,00 PANTALLA TÁCTIL DE 43"" PARA LAS ACTIVIDADES DE LA DOIT CONSOLE DOITPANTAC43",,ACABADO,05/ene/24 9:49 AM,12520,DOIT-2452,MUNDO SENSORIAL COM241102
DOIT-2458,12526,"1,00 DOIT CONSOLE SISTEMA DE CONTROL DE ENTORNO Y ACTIVIDADES DOIT DOCONS1",,ACABADO,05/ene/24 9:49 AM,12520,DOIT-2452,MUNDO SENSORIAL COM241102
DOIT-2459,12527,"10,00 Enchufe controlable DOIT ENDOIT1",,ACABADO,05/ene/24 9:49 AM,12520,DOIT-2452,MUNDO SENSORIAL COM241102
DOIT-2460,12528,"1,00 ESCALERA DE COLORES DOITLink ESC1",,ACABADO,05/ene/24 9:50 AM,12520,DOIT-2452,MUNDO SENSORIAL COM241102
DOIT-2461,12529,"1,00 COMUNICADOR DE 8 PULSADORES DE COLORES DOIT DO8PULS",,ACABADO,05/ene/24 9:50 AM,12520,DOIT-2452,MUNDO SENSORIAL COM241102
DOIT-2462,12530,"1,00 DOIT VOICE SWITCH DOITLink DOITVSEN",,ACABADO,05/ene/24 9:50 AM,12520,DOIT-2452,MUNDO SENSORIAL COM241102
DOIT-2463,12531,"1,00 DIFUSOR DE AROMATERAPIA SUPERINTERACTIVO DOIT DOAADOIT",,ACABADO,05/ene/24 9:50 AM,12520,DOIT-2452,MUNDO SENSORIAL COM241102
DOIT-2464,12532,"2,00 DOIT WALL WASHER DOITWW2M",,ACABADO,05/ene/24 9:50 AM,12520,DOIT-2452,MUNDO SENSORIAL COM241102
DOIT-2466,12534,"1,00 PANEL DE LUZ Y VOZ TC1DOIT",,ACABADO,08/ene/24 11:12 AM,12533,DOIT-2465,GANAR SOCIEDAD COOPERATIVA (CPEE Gloria Fuertes) COM241103
DOIT-2480,12548,"1,00 DOIT CONSOLE SISTEMA DE CONTROL DE ENTORNO Y ACTIVIDADES DOIT DOCONS1",,ACABADO,11/ene/24 4:49 PM,12544,DOIT-2476,ESCOLA MARIÀ FORTUNY COM241119
